T,D_SA1,D_PW1,D_PW2,D_SA3,D_pass,K_PW2,K_SA3,queue_PW1
36.1,114,15,6,18,63,0.5882352941176471,0.8256880733944953,95
36.2,115,14,6,19,63,0.5882352941176471,0.8715596330275229,95
36.3,114,15,5,20,63,0.4901960784313726,0.9174311926605504,95
36.4,115,14,6,20,64,0.5882352941176471,0.9174311926605504,95
36.5,114,15,6,20,64,0.5882352941176471,0.9174311926605504,94
36.6,114,15,6,20,64,0.5882352941176471,0.9174311926605504,95
36.7,115,14,6,21,64,0.5882352941176471,0.963302752293578,95
36.8,114,15,5,22,64,0.4901960784313726,1.0091743119266054,95
36.9,115,14,6,22,65,0.5882352941176471,1.0091743119266054,95
37.0,114,15,6,22,65,0.5882352941176471,1.0091743119266054,94
37.1,114,15,6,22,65,0.5882352941176471,1.0091743119266054,95
37.2,115,14,6,23,65,0.5882352941176471,1.055045871559633,95
37.3,114,15,5,24,65,0.4901960784313726,1.1009174311926606,95
37.4,115,14,6,24,66,0.5882352941176471,1.1009174311926606,95
37.5,114,15,6,24,66,0.5882352941176471,1.1009174311926606,94
37.6,114,15,6,24,66,0.5882352941176471,1.1009174311926606,95
37.7,115,14,6,25,66,0.5882352941176471,1.146788990825688,95
37.8,114,15,5,26,66,0.4901960784313726,1.1926605504587156,95
37.9,115,14,6,26,67,0.5882352941176471,1.1926605504587156,95
38.0,114,15,6,26,67,0.5882352941176471,1.1926605504587156,94
38.1,114,15,6,26,67,0.5882352941176471,1.1926605504587156,95
38.2,115,14,6,27,67,0.5882352941176471,1.238532110091743,95
38.3,114,15,5,28,67,0.4901960784313726,1.2844036697247705,95
38.4,115,15,6,27,68,0.5882352941176471,1.238532110091743,95
38.5,115,15,6,27,68,0.5882352941176471,1.238532110091743,95
38.6,115,15,6,27,68,0.5882352941176471,1.238532110091743,96
38.7,116,15,6,27,68,0.5882352941176471,1.238532110091743,96
38.8,116,15,5,28,68,0.4901960784313726,1.2844036697247705,97
38.9,117,15,6,27,69,0.5882352941176471,1.238532110091743,97
39.0,117,15,6,27,69,0.5882352941176471,1.238532110091743,97
39.1,117,15,6,27,69,0.5882352941176471,1.238532110091743,98
39.2,118,15,6,27,69,0.5882352941176471,1.238532110091743,98
39.3,118,15,5,28,69,0.4901960784313726,1.2844036697247705,99
39.4,119,15,6,27,70,0.5882352941176471,1.238532110091743,99
39.5,119,15,6,27,70,0.5882352941176471,1.238532110091743,99
39.6,119,15,6,27,70,0.5882352941176471,1.238532110091743,100
39.7,120,15,6,27,70,0.5882352941176471,1.238532110091743,100
39.8,120,15,5,28,70,0.4901960784313726,1.2844036697247705,101
39.9,121,15,6,27,71,0.5882352941176471,1.238532110091743,101
40.0,121,15,6,27,71,0.5882352941176471,1.238532110091743,101
40.1,121,15,6,27,71,0.5882352941176471,1.238532110091743,102
40.2,122,15,6,27,71,0.5882352941176471,1.238532110091743,102
40.3,122,15,5,28,71,0.4901960784313726,1.2844036697247705,103
40.4,123,15,6,27,72,0.5882352941176471,1.238532110091743,103
40.5,123,15,6,26,73,0.5882352941176471,1.1926605504587156,103
40.6,123,15,6,26,73,0.5882352941176471,1.1926605504587156,104
40.7,124,15,6,25,74,0.5882352941176471,1.146788990825688,104
40.8,124,15,5,26,74,0.4901960784313726,1.1926605504587156,105
40.9,125,15,6,25,75,0.5882352941176471,1.146788990825688,105
41.0,125,15,6,24,76,0.5882352941176471,1.1009174311926606,105
41.1,125,15,6,24,76,0.5882352941176471,1.1009174311926606,106
41.2,126,15,6,24,76,0.5882352941176471,1.1009174311926606,106
41.3,126,15,5,24,77,0.4901960784313726,1.1009174311926606,107
41.4,127,15,6,23,78,0.5882352941176471,1.055045871559633,107
41.5,127,15,6,23,78,0.5882352941176471,1.055045871559633,107
41.6,127,15,6,22,79,0.5882352941176471,1.0091743119266054,108
41.7,128,15,6,22,79,0.5882352941176471,1.0091743119266054,108
